p_id;type;square_feet;bedrooms;bathrooms;price;num_offender;num_schools;num_universities;num_hospitals;num_police_departments;num_fire_departments;num_airports;num_drugstore;num_restaurants;num_nightlife;num_water;nearest_water_distance_miles
13088;Condo/townhome/row home/co-op;1688;3;3;$995,000.00;0;;1;;;;;3;2;7;;
13089;Condo/townhome/row home/co-op;1688;3;3;$995,000.00;0;;1;;;;;3;2;7;;
13090;Condo/townhome/row home/co-op;933;2;1;$200,900.00;7;8;2;;;;;11;18;5;;
13091;Condo/townhome/row home/co-op;1279;2;2;$4,950,000.00;1;10;3;1;1;1;;11;6;113;29;0.40359169074769163
13092;Condo/townhome/row home/co-op;1279;2;2;$4,950,000.00;1;10;3;1;1;1;;11;6;113;29;0.40359169074769163
13093;Condo/townhome/row home/co-op;933;2;1;$200,900.00;7;8;2;;;;;11;18;5;;
13094;Single family home;1631;4;2;$1,699,400.00;0;3;;;;;;2;2;6;;
13095;Single family home;623;1;1;$160,000.00;47;21;19;9;3;;1;20;175;137;16;0.4244119965244241
13096;Single family home;623;1;1;$160,000.00;47;21;19;9;3;;1;20;175;137;16;0.4244119965244241
13097;Multi-family home;4620;2;1;$959,000.00;72;25;6;6;3;;;31;57;36;1;0.6993209126031272
13098;Multi-family home;4620;2;1;$959,000.00;72;25;6;6;3;;;31;57;36;1;0.6993209126031272
13099;Single family home;1991;3;2;$375,000.00;71;14;;2;;;;1;6;6;;
13100;Single family home;1991;3;2;$375,000.00;71;14;;2;;;;1;6;6;;
13101;Single family home;1699;3;2;$249,900.00;26;9;;;;;;8;1;;;
13102;Single family home;1699;3;2;$249,900.00;26;9;;;;;;8;1;;;
13103;Condo/townhome/row home/co-op;1290;2;2;$350,000.00;1;;;;;;;5;2;8;;
13104;Single family home;1355;3;1;$260,000.00;3;13;6;4;;;;18;16;5;;
13105;Condo/townhome/row home/co-op;700;1;1;$675,000.00;1;10;4;2;1;1;;13;6;133;25;0.19000107646947706
13106;Single family home;1619;5;3;$290,000.00;55;14;3;;;;;4;4;3;1;0.7667858200323987
13107;Single family home;1218;4;2;$300,000.00;13;20;15;5;;;;6;9;12;3;0.4108429830876628
13108;Condo/townhome/row home/co-op;758;1;1;$119,900.00;3;2;1;5;1;;;7;10;8;;
13109;Condo/townhome/row home/co-op;717;1;1;$350,000.00;12;10;6;1;1;;1;10;86;83;34;0.16380991862864014
13110;Single family;1290;2;2;$2,125.00;1;;;;;;;5;2;8;;
13111;Condo/townhome/row home/co-op;1048;2;2;$759,000.00;0;;;1;;;;;;3;28;0.15937259930791722
13112;Condo/townhome/row home/co-op;717;1;1;$350,000.00;12;10;6;1;1;;1;10;86;83;34;0.16380991862864014
13113;Condo/townhome/row home/co-op;1048;2;2;$759,000.00;0;;;1;;;;;;3;28;0.15937259930791722
13114;Condo/townhome/row home/co-op;682;1;1;$260,000.00;1;10;4;2;1;1;;13;6;137;22;0.6066712030453608
13115;Single family home;1218;4;2;$300,000.00;13;20;15;5;;;;6;9;12;3;0.4108429830876628
13116;Condo/townhome/row home/co-op;682;1;1;$260,000.00;1;10;4;2;1;1;;13;6;137;22;0.6066712030453608
13117;Condo/townhome/row home/co-op;791;1;1;$394,000.00;9;9;6;10;2;;1;10;63;68;19;0.187895902794235
13118;Condo/townhome/row home/co-op;791;1;1;$394,000.00;9;9;6;10;2;;1;10;63;68;19;0.187895902794235
