business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
University of Miami;1;38;Colleges & Universities;4.5;1252 Memorial Dr Coral Gables, FL 33146;25.7179072114084;-80.2785172216624;0;https://www.yelp.com/biz/university-of-miami-coral-gables-3
Florida International University;2;62;Colleges & Universities;3.5;11200 SW 8th St Miami, FL 33199;25.752464;-80.378671;0;https://www.yelp.com/biz/florida-international-university-miami
Nova Southeastern University;3;3;Colleges & Universities;4.5;8585 SW 124th Ave Miami, FL 33183;25.6885553;-80.3923399;0;https://www.yelp.com/biz/nova-southeastern-university-miami
University of Miami;4;3;Colleges & Universities;3.5;5801 SW 57th Ave Miami, FL 33143;25.7149639;-80.285434;0;https://www.yelp.com/biz/university-of-miami-miami-8
Carlos Albizu University;5;3;Colleges & Universities;4.5;2173 NW 99th Ave Doral, FL 33172;25.794955;-80.355116;0;https://www.yelp.com/biz/carlos-albizu-university-doral
University of Miami;6;1;Colleges & Universities;5.0;15321 S Dixie Hwy Miami, FL 33157;25.6280571;-80.3411435;0;https://www.yelp.com/biz/university-of-miami-miami-9
Miami-Dade College;7;11;Colleges & Universities;2.5;627 SW 27th Ave Miami, FL 33135;25.7666019;-80.2381554;0;https://www.yelp.com/biz/miami-dade-college-miami
University of Miami;8;4;Colleges & Universities;4.5;1300 Campo Sano Dr Miami, FL 33133;25.7204637865761;-80.2785799568381;0;https://www.yelp.com/biz/university-of-miami-miami-47
Florida National University;9;6;Colleges & Universities;3.0;11865 SW 26th St Miami, FL 33175;25.7480019;-80.3866215;0;https://www.yelp.com/biz/florida-national-university-miami
University of Miami;10;1;Colleges & Universities;5.0;1301 Memorial Dr Coral Gables, FL 33146;25.7221891;-80.2795436;0;https://www.yelp.com/biz/university-of-miami-coral-gables-34
New Acropolis Cultural Association;12;2;Colleges & Universities;3.0;3837 SW 8th St Coral Gables, FL 33134;25.7649317;-80.2577467;0;https://www.yelp.com/biz/new-acropolis-cultural-association-coral-gables
University of Miami;13;2;Colleges & Universities;3.0;1500 NW 12th Ave Miami, FL 33136;25.7895937;-80.215936;0;https://www.yelp.com/biz/university-of-miami-miami-45
Barry University;14;13;Colleges & Universities;3.5;11300 NE 2nd Ave Miami, FL 33161;25.8790842;-80.1963899;0;https://www.yelp.com/biz/barry-university-miami-8
University of Miami;15;1;Colleges & Universities;5.0;1444 NW 9th Ave Miami, FL 33136;25.7886273;-80.2103732;0;https://www.yelp.com/biz/university-of-miami-miami-41
Florida College of Natural Health;16;2;Colleges & Universities;3.0;7925 NW 12 Street Suite Miami, FL 33126;25.7834665;-80.3255869;0;https://www.yelp.com/biz/florida-college-of-natural-health-miami
Miami Animation & Gaming International Complex;17;1;Educational Services,Colleges & Universities,College Counseling;5.0;300 NE 2nd Ave Miami, FL 33132;25.7750050610589;-80.1987342647928;0;https://www.yelp.com/biz/miami-animation-and-gaming-international-complex-miami
University of Miami School of Medicine;18;1;Colleges & Universities;5.0;1611 NW 12th Ave Miami, FL 33136;25.7918359;-80.2127959;0;https://www.yelp.com/biz/university-of-miami-school-of-medicine-miami
Florida Institute of Massage Therapy;19;1;Colleges & Universities,Cosmetology Schools;5.0;7925 NW 12th St Doral, FL 33126;25.7838476;-80.324397;0;https://www.yelp.com/biz/florida-institute-of-massage-therapy-doral
Miami International University of Art & Design;20;5;Art Schools,Colleges & Universities,Cooking Schools;2.0;1501 Biscayne Blvd Miami, FL 33132;25.789965752213;-80.1882433891296;0;https://www.yelp.com/biz/miami-international-university-of-art-and-design-miami
Full Sail University;21;3;Vocational & Technical School,Colleges & Universities;1.0;3300 University Blvd Miami, FL 33146;25.7343511;-80.2752411;0;https://www.yelp.com/biz/full-sail-university-miami
Florida National University;22;5;Colleges & Universities;4.5;4425 W 20th Ave Hialeah, FL 33012;25.8616797;-80.3219567;0;https://www.yelp.com/biz/florida-national-university-hialeah
