business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
CVS Front Store;1;1;Drugstores;4.0;3215 Grand Ave Miami, FL 33133;25.728231;-80.246276;2;https://www.yelp.com/biz/cvs-front-store-miami
Navarro Discount Pharmacies;2;18;Drugstores;3.0;93 Miracle Mile Miami, FL 33134;25.7500012;-80.2565273;2;https://www.yelp.com/biz/navarro-discount-pharmacies-miami-3
Walgreens;3;1;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;2.0;3715 NW 7th St Miami, FL 33126;25.7815623;-80.2574526;2;https://www.yelp.com/biz/walgreens-miami-47
CVS;4;7;Drugstores;2.5;1201 Brickell Ave Miami, FL 33131;25.761826809427;-80.1919646188617;1;https://www.yelp.com/biz/cvs-miami-39
Coconut Grove Pharmacy;5;15;Cosmetics & Beauty Supply,Drugstores;4.5;3001 SW 27th Ave Miami, FL 33133;25.7352635;-80.237358;2;https://www.yelp.com/biz/coconut-grove-pharmacy-miami
CVS Mas;6;3;Drugstores;4.5;690 NW 57th Ave Miami, FL 33126;25.7773681952445;-80.2888838946819;2;https://www.yelp.com/biz/cvs-mas-miami
Walgreens;7;31;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;2.0;3595 Coral Way Miami, FL 33145;25.7504269;-80.251553;2;https://www.yelp.com/biz/walgreens-miami-6
Cardenas Pharmacy;8;2;Drugstores;4.5;2741 Coral Way Miami, FL 33145;25.750529;-80.2391455;1;https://www.yelp.com/biz/cardenas-pharmacy-miami
CVS Pharmacy;9;19;Drugstores;3.5;170 SE 3rd Ave Miami, FL 33131;25.7727492785672;-80.1891145713391;2;https://www.yelp.com/biz/cvs-pharmacy-miami-59
Cvs;10;6;Drugstores;3.0;5748 SW 40th St Miami, FL 33155;25.7338036173527;-80.2871946465905;2;https://www.yelp.com/biz/cvs-miami-38
Walgreens;11;14;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;3.0;3655 S Dixie Hwy Miami, FL 33133;25.7336761;-80.253238;1;https://www.yelp.com/biz/walgreens-miami-45
CVS;12;1;Drugstores;4.0;888 Biscayne Blvd Miami, FL 33132;25.7824451;-80.1900943;0;https://www.yelp.com/biz/cvs-miami-44
Walgreens;13;6;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;3.5;9380 Sw 56Th St Miami, FL 33165;25.7153694;-80.3467416;2;https://www.yelp.com/biz/walgreens-miami-16
Walgreens;14;5;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;4.5;400 Hialeah Dr Hialeah, FL 33010;25.822451;-80.272869;1;https://www.yelp.com/biz/walgreens-hialeah-12
Walgreens;15;33;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;3.5;501 Collins Ave Miami Beach, FL 33139;25.7749322;-80.1326404;1;https://www.yelp.com/biz/walgreens-miami-beach-3
Walgreens;16;24;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;3.0;2300 Collins Ave Miami Beach, FL 33139;25.7987038;-80.1282006;2;https://www.yelp.com/biz/walgreens-miami-beach-2
CVS Pharmacy;17;8;Drugstores;2.5;5785 NW 7th St Miami, FL 33126;25.7841260234942;-80.2963256835938;1;https://www.yelp.com/biz/cvs-pharmacy-miami-63
Cvs;18;6;Drugstores;3.5;5640 Sunset Dr Miami, FL 33143;25.7041618;-80.285114;2;https://www.yelp.com/biz/cvs-miami-25
Walgreens;19;23;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;1.5;3103 Biscayne Blvd Miami, FL 33137;25.8068986;-80.1888744;2;https://www.yelp.com/biz/walgreens-miami-3
CVS;20;34;Drugstores;3.5;306 Lincoln Rd Miami Beach, FL 33139;25.7903494906829;-80.1307729998082;2;https://www.yelp.com/biz/cvs-miami-beach-2
Walgreens;21;17;Cosmetics & Beauty Supply,Drugstores,Convenience Stores;2.5;1400 Collins Ave Miami Beach, FL 33139;25.785546;-80.1311297;1;https://www.yelp.com/biz/walgreens-miami-beach-14
Walgreens;22;7;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;2.0;3490 Bird Rd Miami, FL 33133;25.7349127;-80.2500242;1;https://www.yelp.com/biz/walgreens-miami-54
PDL Pharmacy;23;1;Drugstores;5.0;7167 W Flagler St Miami, FL 33144;25.7704475;-80.3109808;2;https://www.yelp.com/biz/pdl-pharmacy-miami-3
Village Pharmacy & Compounding;24;5;Drugstores;5.0;8008 SW 81st Dr Miami, FL 33143;25.6941787;-80.3235828;0;https://www.yelp.com/biz/village-pharmacy-and-compounding-miami
CVS/pharmacy;25;19;Drugstores;3.0;200 Biscayne Blvd Miami, FL 33132;25.7766385;-80.1887031;2;https://www.yelp.com/biz/cvs-pharmacy-miami-8
Walgreens;26;17;Drugstores,Cosmetics & Beauty Supply,Convenience Stores;2.5;4049 Pine Tree Dr Miami Beach, FL 33140;25.8132919;-80.1253587;2;https://www.yelp.com/biz/walgreens-miami-beach-8
