business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Brickell International Academy;1;12;Preschools,Elementary Schools,Educational Services;5.0;1101 Brickell Ave Miami, FL 33131;25.763149;-80.1906769;0;https://www.yelp.com/biz/brickell-international-academy-miami
MCA Academy;2;5;Elementary Schools,Middle Schools & High Schools;5.0;2911 Grand Ave Miami, FL 33133;25.7282988;-80.2405592;0;https://www.yelp.com/biz/mca-academy-miami-2
Cushman School;3;2;Elementary Schools,Middle Schools & High Schools,Landmarks & Historical Buildings;5.0;592 NE 60th St Miami, FL 33137;25.8316498;-80.1846146;0;https://www.yelp.com/biz/cushman-school-miami
La Prima Casa Montessori School;4;4;Elementary Schools,Montessori Schools,Summer Camps;5.0;2733 SW 3rd Ave Miami, FL 33129;25.7541895;-80.2094419;0;https://www.yelp.com/biz/la-prima-casa-montessori-school-miami-4
Metropolitan International School of Miami;5;3;Preschools,Elementary Schools,Middle Schools & High Schools;5.0;3465 NW 2nd Ave Miami, FL 33127;25.809408;-80.1990343;0;https://www.yelp.com/biz/metropolitan-international-school-of-miami-miami
Palmetto Elementary School;6;1;Elementary Schools;5.0;12401 SW 74th Ave Miami, FL 33156;25.6552844247151;-80.3133175070161;0;https://www.yelp.com/biz/palmetto-elementary-school-miami
Easter Seals Demonstration School;7;1;Child Care & Day Care,Middle Schools & High Schools,Elementary Schools;5.0;1475 NW 14th Ave Miami, FL 33125;25.7890054;-80.2179344;0;https://www.yelp.com/biz/easter-seals-demonstration-school-miami
Children’s Resources;8;2;Elementary Schools,Preschools;5.0;8571 SW 112th St Miami, FL 33156;25.6665454;-80.3344443;0;https://www.yelp.com/biz/childrens-resources-miami
Academy of Arts & Minds Charter High School;9;1;Elementary Schools,Performing Arts,Middle Schools & High Schools;4.0;3138 Commodore Plz Miami, FL 33133;25.7270788;-80.2445542;0;https://www.yelp.com/biz/academy-of-arts-and-minds-charter-high-school-miami
The Biltmore School;10;2;Elementary Schools,Middle Schools & High Schools;3.0;1600 SW 57th Ave Miami, FL 33155;25.7558882720731;-80.2880367210781;0;https://www.yelp.com/biz/the-biltmore-school-miami-2
