business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Christopher Columbus High School;1;1;Middle Schools & High Schools;5.0;3000 SW 87th Ave Miami, FL 33165;25.741643;-80.338617;0;https://www.yelp.com/biz/christopher-columbus-high-school-miami
Ransom Everglades School;2;4;Middle Schools & High Schools;3.5;3575 Main Hwy Miami, FL 33133;25.7231266650328;-80.2440556791161;0;https://www.yelp.com/biz/ransom-everglades-school-miami
MCA Academy;3;5;Elementary Schools,Middle Schools & High Schools;5.0;2911 Grand Ave Miami, FL 33133;25.7282988;-80.2405592;0;https://www.yelp.com/biz/mca-academy-miami-2
Miami Sunset Senior High School;4;1;Middle Schools & High Schools;4.0;7201 SW 132nd Ave Miami, FL 33183;25.699964;-80.406208;0;https://www.yelp.com/biz/miami-sunset-senior-high-school-miami
Riviera Preparatory School;5;1;Middle Schools & High Schools;5.0;9775 SW 87th Ave Miami, FL 33176;25.6789930164814;-80.3352800756693;0;https://www.yelp.com/biz/riviera-preparatory-school-miami-3
Coral Gables Senior High;6;1;Middle Schools & High Schools,Adult Education;4.0;450 Bird Rd Coral Gables, FL 33146;25.734300702898;-80.2635128808202;0;https://www.yelp.com/biz/coral-gables-senior-high-coral-gables
Archbishop Curley Notre Dame High School;7;1;Middle Schools & High Schools;5.0;4949 NE 2nd Ave Miami, FL 33137;25.7665423403593;-80.1893314296786;0;https://www.yelp.com/biz/archbishop-curley-notre-dame-high-school-miami
Academy of Arts & Minds Charter High School;8;1;Elementary Schools,Performing Arts,Middle Schools & High Schools;4.0;3138 Commodore Plz Miami, FL 33133;25.7270788;-80.2445542;0;https://www.yelp.com/biz/academy-of-arts-and-minds-charter-high-school-miami
Miami-Dade County Public Schools;9;1;Elementary Schools,Middle Schools & High Schools;4.0;5120 Sunset Dr Miami, FL 33143;25.7036971;-80.3016831;0;https://www.yelp.com/biz/miami-dade-county-public-schools-miami-123
Metropolitan International School of Miami;10;3;Preschools,Elementary Schools,Middle Schools & High Schools;5.0;3465 NW 2nd Ave Miami, FL 33127;25.809408;-80.1990343;0;https://www.yelp.com/biz/metropolitan-international-school-of-miami-miami
Miami Senior High School;12;5;Middle Schools & High Schools;4.0;2450 SW 1st St Miami, FL 33135;25.7710737910512;-80.2359925357509;0;https://www.yelp.com/biz/miami-senior-high-school-miami
Our Lady of Lourdes Academy;13;1;Middle Schools & High Schools;5.0;5525 SW 84th St Miami, FL 33143;25.6934961;-80.2821145;0;https://www.yelp.com/biz/our-lady-of-lourdes-academy-miami
Miami Coral Park Senior High School;14;1;Middle Schools & High Schools;4.0;8865 SW 16th St Miami, FL 33165;25.7556493;-80.3404864;0;https://www.yelp.com/biz/miami-coral-park-senior-high-school-miami
Zelda Glazer Middle School;15;2;Middle Schools & High Schools;5.0;15015 SW 24th St Miami, FL 33185;25.74373;-80.438266;0;https://www.yelp.com/biz/zelda-glazer-middle-school-miami
Miami Jackson Senior High School;16;1;Middle Schools & High Schools;5.0;1751 NW 36th St Miami, FL 33142;25.810277;-80.225048;0;https://www.yelp.com/biz/miami-jackson-senior-high-school-miami
Miami Palmetto Senior High School;17;1;Middle Schools & High Schools;5.0;7460 SW 118th St Miami, FL 33156;25.660241;-80.316317;0;https://www.yelp.com/biz/miami-palmetto-senior-high-school-miami
The Biltmore School;18;2;Elementary Schools,Middle Schools & High Schools;3.0;1600 SW 57th Ave Miami, FL 33155;25.7558882720731;-80.2880367210781;0;https://www.yelp.com/biz/the-biltmore-school-miami-2
Killian Oaks Academy House of Learning;19;1;Elementary Schools,Middle Schools & High Schools;5.0;10545 SW 97th Ave Miami, FL 33176;25.6716279;-80.350776;0;https://www.yelp.com/biz/killian-oaks-academy-house-of-learning-miami
