business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
South Miami Hospital;1;50;Hospitals,Addiction Medicine;3.5;6200 SW 73rd St South Miami, FL 33143;25.701598;-80.294685;0;https://www.yelp.com/biz/south-miami-hospital-south-miami-2
Mercy Hospital;2;61;Hospitals;2.5;3663 S Miami Ave Miami, FL 33133;25.7400472;-80.2138245;0;https://www.yelp.com/biz/mercy-hospital-miami-3
Baptist Hospital of Miami;3;91;Hospitals;3.0;8900 N Kendall Dr Miami, FL 33176;25.6830929;-80.3403287;0;https://www.yelp.com/biz/baptist-hospital-of-miami-miami
Doctors Hospital;4;25;Hospitals;4.0;5000 University Dr Coral Gables, FL 33146;25.7242943;-80.2742206;0;https://www.yelp.com/biz/doctors-hospital-coral-gables
Coral Gables Hospital;5;56;Hospitals;3.0;3100 S Douglas Rd Coral Gables, FL 33134;25.7434563175079;-80.2547659816147;0;https://www.yelp.com/biz/coral-gables-hospital-coral-gables
West Kendall Baptist Hospital;6;51;Hospitals;3.5;9555 SW 162nd Ave Miami, FL 33196;25.6784009662727;-80.4560029506683;0;https://www.yelp.com/biz/west-kendall-baptist-hospital-miami
Jackson Memorial Hospital;7;61;Hospitals;2.0;1809 NW 9th St Miami, FL 33125;25.7820502;-80.2255327;0;https://www.yelp.com/biz/jackson-memorial-hospital-miami
Kendall Regional Medical Center;8;72;Hospitals;2.0;11750 SW 40th St Miami, FL 33175;25.7307897;-80.3853026;0;https://www.yelp.com/biz/kendall-regional-medical-center-miami
Jackson South Community Hospital;9;32;Hospitals;2.0;9333 SW 152nd St Miami, FL 33157;25.6298076;-80.3446013;0;https://www.yelp.com/biz/jackson-south-community-hospital-miami
Nicklaus Children’s Hospital;10;58;Hospitals,Pediatricians;3.0;3100 SW 62nd Ave Miami, FL 33155;25.7412636;-80.2940297;0;https://www.yelp.com/biz/nicklaus-childrens-hospital-miami-2
Holtz Children’s Hospital;11;4;Hospitals;4.0;1611 NW 12th Ave Miami, FL 33136;25.7914269;-80.212494;0;https://www.yelp.com/biz/holtz-childrens-hospital-miami
Memorial Hospital Miramar;12;47;Hospitals;3.5;1901 SW 172nd Ave Miramar, FL 33029;25.9908868;-80.3728387;0;https://www.yelp.com/biz/memorial-hospital-miramar-miramar-3
Hialeah Hospital;13;20;Hospitals;1.0;651 E 25th St Hialeah, FL 33013;25.8452013;-80.2684301;0;https://www.yelp.com/biz/hialeah-hospital-hialeah
Westchester General Hospital;14;5;Hospitals;2.0;2500 SW 75th Ave Miami, FL 33155;25.7473744;-80.3145294;0;https://www.yelp.com/biz/westchester-general-hospital-miami-2
University of Miami Hospital;15;5;Hospitals;1.0;1400 NW 12th Ave Miami, FL 33136;25.8552328500829;-80.1963917315128;0;https://www.yelp.com/biz/university-of-miami-hospital-miami-2
Metropolitan Hospital;17;1;Hospitals;1.0;5959 NW 7th St Miami, FL 33126;25.778391;-80.29358;0;https://www.yelp.com/biz/metropolitan-hospital-miami-2
Westchester Hospital;18;1;Hospitals;1.0;2500 SW 75th Ave Miami, FL 33155;25.7474336;-80.317674;0;https://www.yelp.com/biz/westchester-hospital-miami
Memorial Hospital West;19;40;Hospitals;3.0;703 N Flamingo Rd Pembroke Pines, FL 33028;26.012964403207;-80.310686792745;0;https://www.yelp.com/biz/memorial-hospital-west-pembroke-pines
Palmetto General Hospital;20;42;Hospitals;1.5;2001 W 68th St Hialeah, FL 33016;25.8847648;-80.3285197;0;https://www.yelp.com/biz/palmetto-general-hospital-hialeah
Larkin General Hospital;21;1;Hospitals;5.0;7031 SW 62nd Ave South Miami, FL 33143;25.705576;-80.2931119;0;https://www.yelp.com/biz/larkin-general-hospital-south-miami
Homestead Hospital;22;38;Hospitals;2.0;975 Baptist Way Homestead, FL 33030;25.4792269;-80.4304752;0;https://www.yelp.com/biz/homestead-hospital-homestead
Miami VA Healthcare System;23;14;Hospitals;3.0;1201 NW 16th St Miami, FL 33125;25.791515;-80.217124;0;https://www.yelp.com/biz/miami-va-healthcare-system-miami
Broward Health Medical Center;24;44;Medical Centers,Emergency Rooms,Hospitals;3.0;1600 S Andrews Ave Fort Lauderdale, FL 33316;26.1020436;-80.1407874;0;https://www.yelp.com/biz/broward-health-medical-center-fort-lauderdale-5
