business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Bar Nancy;1;35;Cocktail Bars;4.5;2007 SW 8th St Miami, FL 33135;25.76576;-80.228279;2;https://www.yelp.com/biz/bar-nancy-miami
SHOTS Miami;2;189;Dance Clubs,Bars,American (New);4.0;311 NW 23rd St Miami, FL 33127;25.799683;-80.201511;2;https://www.yelp.com/biz/shots-miami-miami
Lilt Lounge;3;71;Lounges,Venues & Event Spaces,Cocktail Bars;4.5;270 Biscayne Boulevard Way Miami, FL 33131;25.7702990617159;-80.1890780165329;2;https://www.yelp.com/biz/lilt-lounge-miami
E11EVEN MIAMI;4;189;Dance Clubs;3.0;29 NE 11th St Miami, FL 33132;25.7849662;-80.193544;3;https://www.yelp.com/biz/e11even-miami-miami-5
Tabiza Nightclub Hospitality;5;6;Dance Clubs,Party & Event Planning;5.0;1621 Collins Ave Miami Beach, FL 33139;25.789912;-80.129104;2;https://www.yelp.com/biz/tabiza-nightclub-hospitality-miami-beach-2
Lagniappe;6;545;Barbeque,Music Venues,Wine Bars;4.5;3425 NE 2nd Ave Miami, FL 33137;25.8090801239014;-80.191162109375;2;https://www.yelp.com/biz/lagniappe-miami-3
Blackbird Ordinary;7;456;Cocktail Bars;4.0;729 SW 1st Ave Miami, FL 33130;25.766520161458;-80.1951742168062;2;https://www.yelp.com/biz/blackbird-ordinary-miami
Hookita Lounge;8;30;Hookah Bars,Coffee & Tea,Lounges;5.0;14232 SW 8th St Miami, FL 33184;25.7608617;-80.4255586;1;https://www.yelp.com/biz/hookita-lounge-miami
The Comedy Inn;9;16;Comedy Clubs,Performing Arts;5.0;14501 S Dixie Hwy Miami, FL 33176;25.634922;-80.337614;2;https://www.yelp.com/biz/the-comedy-inn-miami
The Wynwood Yard;10;138;Bars,Food Trucks,Music Venues;4.5;;25.803639;-80.196274;2;https://www.yelp.com/biz/the-wynwood-yard-miami
Floyd Miami;12;3;Cocktail Bars,Music Venues,Lounges;5.0;34 NE 11th St Miami, FL 33132;25.7844757;-80.1931356;2;https://www.yelp.com/biz/floyd-miami-miami
Green Spot Botanicals;13;14;Cocktail Bars;5.0;5855 Bird Rd Miami, FL 33155;25.7341460863441;-80.2900970785389;1;https://www.yelp.com/biz/green-spot-botanicals-miami
Sidebar;14;59;Lounges,Music Venues,Venues & Event Spaces;3.5;337 SW 8th St Miami, FL 33130;25.7665815;-80.1998829;2;https://www.yelp.com/biz/sidebar-miami-2
Ball & Chain;15;500;Music Venues,Bars,Tapas/Small Plates;4.0;1513 SW 8th St Miami, FL 33135;25.7658649;-80.2197635;2;https://www.yelp.com/biz/ball-and-chain-miami-2
The Bend Liquor Lounge;16;99;Cocktail Bars,Lounges;4.5;6844 NW 169th St Miami, FL 33015;25.9254190468578;-80.3110476259993;1;https://www.yelp.com/biz/the-bend-liquor-lounge-miami-2
Amor di Pasta;17;47;Pizza,Italian,Wine Bars;5.0;536 NW 57th Ave Miami, FL 33126;25.7768358;-80.2886574;2;https://www.yelp.com/biz/amor-di-pasta-miami-3
