business_name;rank;review_count;categories;rating;address;longitude;latitude;price_range;url
Kush;1;1356;Burgers,American (New),Gastropubs;4.5;2003 N Miami Ave Miami, FL 33127;25.796018;-80.1946861;2;https://www.yelp.com/biz/kush-miami-2
Terramia;2;9;Italian;5.0;4770 Biscayne Blvd Miami, FL 33137;25.8188787;-80.1884905;2;https://www.yelp.com/biz/terramia-miami
Ghee Indian Kitchen;3;56;Indian;4.5;8965 SW 72nd Pl Miami, FL 33156;25.6869883;-80.3128537;2;https://www.yelp.com/biz/ghee-indian-kitchen-miami-2
Mr & Mrs Bun;4;698;Peruvian,Sandwiches;5.0;15572 SW 72nd St Miami, FL 33193;25.6982213872986;-80.4451601299472;2;https://www.yelp.com/biz/mr-and-mrs-bun-miami
CVI.CHE 105;5;1639;Latin American,Peruvian,Seafood;4.0;105 NE 3rd Ave Miami, FL 33132;25.775383;-80.1884004;2;https://www.yelp.com/biz/cvi-che-105-miami
The Spillover;6;312;Seafood,Sandwiches,Beer Bar;4.5;2911 Grand Ave Miami, FL 33133;25.7284978;-80.2408057;2;https://www.yelp.com/biz/the-spillover-miami
Beaker & Gray;7;488;Cocktail Bars,American (New),Tapas/Small Plates;4.5;2637 N Miami Ave Miami, FL 33127;25.802335;-80.194733;2;https://www.yelp.com/biz/beaker-and-gray-miami
Breadman Miami;8;24;Bakeries,Sandwiches,Breakfast & Brunch;4.5;8100 SW 8th St Miami, FL 33144;25.7618704668318;-80.3266456998574;1;https://www.yelp.com/biz/breadman-miami-miami-2
Versailles Restaurant;9;2658;Cuban,Coffee & Tea,Latin American;4.0;3555 SW 8th St Miami, FL 33135;25.7650962116388;-80.2527339189549;2;https://www.yelp.com/biz/versailles-restaurant-miami
Doce Provisions;10;248;American (New),Gastropubs,Cuban;4.5;541 SW 12th Ave Miami, FL 33130;25.767842;-80.2142953;2;https://www.yelp.com/biz/doce-provisions-miami
Crazy About You;11;744;Mediterranean,Italian,Spanish;4.0;1155 Brickell Bay Dr Miami, FL 33131;25.7620078715623;-80.1889463275432;2;https://www.yelp.com/biz/crazy-about-you-miami
Pinch Kitchen;12;184;American (New);4.5;8601 Biscayne Blvd Miami, FL 33138;25.8544821718056;-80.1846987988383;2;https://www.yelp.com/biz/pinch-kitchen-miami
Coopertown Airboat Rides & Restaurant;13;122;American (New),Diners;3.5;22700 SW 8th St Miami, FL 33194;25.760755;-80.560793;2;https://www.yelp.com/biz/coopertown-airboat-rides-and-restaurant-miami-10
FINKA Table & Tap;14;1463;Gastropubs,Asian Fusion,Cuban;4.0;14690 SW 26th St Miami, FL 33175;25.7426710712095;-80.431843609787;2;https://www.yelp.com/biz/finka-table-and-tap-miami
Cardon Y El Tirano;15;255;Venezuelan,Tapas/Small Plates,Wine Bars;4.5;3411 SW 8th St Miami, FL 33135;25.7650461623728;-80.2514094779099;2;https://www.yelp.com/biz/cardon-y-el-tirano-miami
Wynwood Kitchen & Bar;16;768;American (New),Latin American,Tapas/Small Plates;4.0;2550 NW 2nd Ave Miami, FL 33127;25.8013376;-80.1992991;2;https://www.yelp.com/biz/wynwood-kitchen-and-bar-miami
KYU;17;384;Asian Fusion;4.5;251 NW 25th St Miami, FL 33127;25.8008668;-80.2001876;3;https://www.yelp.com/biz/kyu-miami
POKÉ + GO;18;50;Poke,Hawaiian,Japanese;4.5;2451 NE 186th St Miami, FL 33180;25.9475927304775;-80.150523958562;2;https://www.yelp.com/biz/pok%C3%A9-go-miami
Boho;19;74;Mediterranean,Greek;4.5;3433 Main Hwy Coconut Grove Miami, FL 33133;25.7273038;-80.2428563;2;https://www.yelp.com/biz/boho-miami
Lagniappe;20;545;Barbeque,Music Venues,Wine Bars;4.5;3425 NE 2nd Ave Miami, FL 33137;25.8090801239014;-80.191162109375;2;https://www.yelp.com/biz/lagniappe-miami-3
Fuchai;21;49;Asian Fusion,Seafood,Soup;4.5;2506 NE 2nd Ave Miami, FL 33137;25.8009908;-80.1911706;2;https://www.yelp.com/biz/fuchai-miami-2
Barley An American Brasserie;22;102;Gastropubs;4.0;8945 SW 72nd Pl Miami, FL 33156;25.686989;-80.3128349;2;https://www.yelp.com/biz/barley-an-american-brasserie-miami
El Exquisito;23;387;Cuban;4.0;1510 SW 8th St Miami, FL 33135;25.7656837;-80.2198133;2;https://www.yelp.com/biz/el-exquisito-restaurant-miami
Shimuja;24;124;Ramen;4.5;500 Brickell Ave Miami, FL 33131;25.7683404;-80.1906946;2;https://www.yelp.com/biz/shimuja-miami-5
Kraken Crudo;25;8;Japanese,Sushi Bars,Asian Fusion;4.5;3525 NE 2nd Ave Miami, FL 33137;25.8096232;-80.1908789;2;https://www.yelp.com/biz/kraken-crudo-miami
Coppola’s Ristorante Italiano;26;16;Italian;5.0;7317 SW 107th Ave Miami, FL 33173;25.6999043681117;-80.3657110780478;2;https://www.yelp.com/biz/coppolas-ristorante-italiano-miami
G Spot;27;81;Juice Bars & Smoothies,Sandwiches,Delis;4.5;4545 NW 7th St Miami, FL 33126;25.779235;-80.2705141;1;https://www.yelp.com/biz/g-spot-miami-3
WHISK Gourmet Food & Catering;28;870;American (New);4.5;7382 SW 56th Ave Miami, FL 33143;25.7028794;-80.2848138;2;https://www.yelp.com/biz/whisk-gourmet-food-and-catering-miami-2
Atlantica Seafood Restaurant & Market;29;89;Seafood,Seafood Markets;4.0;3501 Rickenbacker Cswy Miami, FL 33149;25.7437523001847;-80.1721119880676;2;https://www.yelp.com/biz/atlantica-seafood-restaurant-and-market-miami
Tacos and Tattoos;30;865;Mexican,American (Traditional),Gastropubs;4.5;10720 SW 113th Pl Miami, FL 33176;25.6688221;-80.377725;2;https://www.yelp.com/biz/tacos-and-tattoos-miami-2
Kraken Crudo;32;8;Japanese,Sushi Bars,Asian Fusion;4.5;3525 NE 2nd Ave Miami, FL 33137;25.8096232;-80.1908789;2;https://www.yelp.com/biz/kraken-crudo-miami
Al-Amir;33;16;Lebanese,Bakeries,Breakfast & Brunch;5.0;6420 Bird Rd Miami, FL 33155;25.7333734324302;-80.2990882453202;1;https://www.yelp.com/biz/al-amir-miami
La Gringa Taco Shop;34;72;Tacos;5.0;1223 W Flagler St Miami, FL 33135;25.7736011;-80.2151484;1;https://www.yelp.com/biz/la-gringa-taco-shop-miami
Xochimex Cantina Grill;35;32;Tex-Mex,Mexican;4.0;5761 NW 7th St Miami, FL 33126;25.7789364;-80.2904945;2;https://www.yelp.com/biz/xochimex-cantina-grill-miami-2
Mojo Donuts & Fried Chicken;36;150;Chicken Shop,Donuts;4.5;8870 SW 40th St Miami, FL 33165;25.7325713;-80.3394201;1;https://www.yelp.com/biz/mojo-donuts-and-fried-chicken-miami
FINKA Table & Tap;37;1463;Gastropubs,Asian Fusion,Cuban;4.0;14690 SW 26th St Miami, FL 33175;25.7426710712095;-80.431843609787;2;https://www.yelp.com/biz/finka-table-and-tap-miami
PS Green;38;33;American (New),Breakfast & Brunch,Juice Bars & Smoothies;5.0;13067 SW 112th St Miami, FL 33186;25.665064;-80.407773;2;https://www.yelp.com/biz/ps-green-miami
Pinch Kitchen;39;184;American (New);4.5;8601 Biscayne Blvd Miami, FL 33138;25.8544821718056;-80.1846987988383;2;https://www.yelp.com/biz/pinch-kitchen-miami
Atlantica Seafood Restaurant & Market;40;89;Seafood,Seafood Markets;4.0;3501 Rickenbacker Cswy Miami, FL 33149;25.7437523001847;-80.1721119880676;2;https://www.yelp.com/biz/atlantica-seafood-restaurant-and-market-miami
Clove Mediterranean Kitchen;41;125;Mediterranean,Greek;4.5;195 SE 3rd Ave Miami, FL 33131;25.7729939;-80.188562;1;https://www.yelp.com/biz/clove-mediterranean-kitchen-miami
Bocas House;42;676;Peruvian,Venezuelan;4.0;10200 NW 25th St Doral, FL 33172;25.796246;-80.361887;2;https://www.yelp.com/biz/bocas-house-doral
NIU Kitchen;43;273;Catalan,Tapas/Small Plates,Breakfast & Brunch;4.5;134 NE 2nd Ave Miami, FL 33132;25.7757959;-80.1904639;2;https://www.yelp.com/biz/niu-kitchen-miami
Taula Fresh Mediterranean Food;44;16;Mediterranean;5.0;1657 N Miami Ave Miami, FL 33136;25.7914044;-80.194315;1;https://www.yelp.com/biz/taula-fresh-mediterranean-food-miami
Lung Yai Thai Tapas;45;553;Tapas/Small Plates,Thai;4.0;1731 SW 8th St Miami, FL 33135;25.765921;-80.22329;2;https://www.yelp.com/biz/lung-yai-thai-tapas-miami
Tacos and Tattoos;46;865;Mexican,American (Traditional),Gastropubs;4.5;10720 SW 113th Pl Miami, FL 33176;25.6688221;-80.377725;2;https://www.yelp.com/biz/tacos-and-tattoos-miami-2
