p_id;type;square_feet;bedrooms;bathrooms;price;num_sex_offender;num_habitual_offender;num_schools;num_universities;num_hospitals;num_police_departments;num_fire_departments;num_airports;num_drugstore;num_restaurants;num_nightlife;num_water;num_properties;latitude;longitude;square_feet_sqrt;bedroomsx2;bathroomsx2;rooms;room_size;num_sex_offenderx2;num_habitual_offenderx2;num_offenders;num_offendersx2;num_schoolsx2;num_universitiesx2;num_education;num_restaurantsx2;num_nightlifex2;num_propertiesx2
13107;Single family;1218;4;2;300000;2;4;10;4;2;0;0;0;2;1;5;2;53;25.725373;-80.260703;34.899856733230294;16;4;6;203;4;16;6;36;100;16;14;1;25;2809
13109;Row home/co-op;717;1;1;350000;3;0;4;5;1;1;0;1;4;44;50;9;396;25.756112;-80.193365;26.77685567799177;1;1;2;358.5;9;0;3;9;16;25;9;1936;2500;156816
13112;Row home/co-op;717;1;1;350000;3;0;4;5;1;1;0;1;4;44;50;9;396;25.756112;-80.193365;26.77685567799177;1;1;2;358.5;9;0;3;9;16;25;9;1936;2500;156816
13114;Row home/co-op;682;1;1;260000;0;1;5;4;1;1;0;0;12;6;105;3;398;25.789756;-80.135736;26.115129714401192;1;1;2;341;0;1;1;1;25;16;9;36;11025;158404
13115;Single family;1218;4;2;300000;2;4;10;4;2;0;0;0;2;1;5;2;53;25.725373;-80.260703;34.899856733230294;16;4;6;203;4;16;6;36;100;16;14;1;25;2809
13116;Row home/co-op;682;1;1;260000;0;1;5;4;1;1;0;0;12;6;105;3;398;25.789756;-80.135736;26.115129714401192;1;1;2;341;0;1;1;1;25;16;9;36;11025;158404
13117;Row home/co-op;791;1;1;394000;1;0;0;0;0;0;0;0;2;12;13;7;229;25.752407;-80.198873;28.124722220850465;1;1;2;395.5;1;0;1;1;0;0;0;144;169;52441
13118;Row home/co-op;791;1;1;394000;1;0;0;0;0;0;0;0;2;12;13;7;229;25.752407;-80.198873;28.124722220850465;1;1;2;395.5;1;0;1;1;0;0;0;144;169;52441
13120;Row home/co-op;791;1;1;394000;1;0;0;0;0;0;0;0;2;12;13;7;229;25.752407;-80.198873;28.124722220850465;1;1;2;395.5;1;0;1;1;0;0;0;144;169;52441
13146;Single family;1251;3;2;599000;1;1;3;0;5;0;0;0;1;1;4;1;38;25.743608;-80.287332;35.369478367654786;9;4;5;250.2;1;1;2;4;9;0;3;1;16;1444
