"p_id","price","glm"
19228,465000,455001.585287308
15036,279900,280273.274801734
17235,485000,410691.332769421
16264,515000,360940.104637931
16864,240000,288185.181861382
14435,590000,475249.779400557
16419,245000,240548.289120114
14768,325000,335420.829879726
17691,385000,344297.216640346
19757,359000,382029.216109156
13714,355000,324688.372456862
17087,349900,381568.349409861
21254,330000,334165.367497187
17134,205000,280111.22989785
17624,470000,366301.076116172
22371,575000,503032.648768245
20008,260150,290693.062608549
17740,312987,356105.406021207
22646,318900,387811.658725025
16384,434500,335284.278635661
15341,278900,324882.025425386
19989,219000,307838.981689811
21288,318000,412204.924847161
16442,525000,450737.95215563
21778,559000,570407.603909908
21776,202900,303816.201207145
20271,480000,390263.395441344
16826,274900,429088.20752524
18887,547700,511139.609348051
16255,450000,390473.925424057
22195,328000,352609.520919307
14527,315000,336138.422194202
16468,390000,365707.6965637
18668,225000,265921.591592557
15877,235000,404419.073752598
21772,485000,432605.021631208
18348,465000,318443.738672033
16828,260000,309882.70769212
18442,229900,256388.706474802
18399,419000,430934.305246007
21209,220000,292072.217925601
18626,242000,411479.358339194
20806,394999,386974.923686171
21504,215000,202682.505973947
18141,390000,433337.427407446
19312,395000,392645.684834857
16935,435900,477277.992821832
23041,418000,369982.815980712
21728,370000,340705.883181242
15836,345000,393872.735335556
13427,395000,357890.620041529
15587,299000,422280.834149477
15672,215000,376065.30715592
17996,329000,237969.605951238
18715,245000,376200.514602091
22990,299000,279591.726855765
14388,525000,444152.339244767
18597,209900,271523.421710904
18425,434000,478610.814105251
15891,399000,501508.260106855
15610,255000,280913.257346354
16724,275000,340750.307713866
16349,255000,347141.22253511
19311,283000,283085.499974095
15585,230000,426266.538206628
17288,360000,348901.440366831
22717,200000,309883.5358001
22503,359999,339369.96122491
17250,379900,383043.341001722
19851,369000,402851.018196623
16420,449900,390824.539260295
22865,420000,390362.283677537
19286,585000,375561.645580279
15039,275000,285412.706546771
21741,465000,421570.643503972
21284,599000,472301.838561541
22135,209000,316086.60660154
22093,229500,325481.69135354
17927,260000,280396.684806461
13581,289000,237162.993491309
21256,379000,429964.677347134
13227,525000,346154.932173967
17966,350000,444315.50647605
18879,399000,323378.18013263
15221,349000,411863.104381121
22562,205000,146236.121463014
17081,440000,357911.119606413
16814,230000,284062.843348995
18382,349900,439481.977296997
18123,265000,294930.682700411
18791,370000,465749.215623023
16318,320000,390125.700584399
14638,335000,350304.533596696
13695,215000,279171.494776143
20889,375000,329729.059265214
13451,499000,341481.941202875
20273,339000,343796.259720028
16479,328000,357476.495151934
18607,250000,384596.05598336
17830,599000,457838.926839662
16049,309000,336097.628795756
13191,445000,357890.620041529
16879,420000,451803.545315013
18000,350000,404566.397960758
13146,599000,403127.356758374
18286,279900,270472.282310197
14241,239900,298603.884662562
19864,450000,397064.751137004
14101,340000,414354.376475973
22772,419000,499838.522482188
15586,445000,416145.428287858
17802,327000,333457.994113583
20284,556000,476331.199799839
18637,299000,292507.244127124
16804,219000,284062.843348995
17193,330599,282061.860458164
18253,389000,342477.001236348
17073,224787,282287.93047802
21278,380000,433052.737324174
17556,580000,448633.356914069
