ID, COLOR, LATITUDE, LONGITUDE
0, #DFDFDF, 25.709808, -80.313985
1, #FFFFFF, 25.709808, -80.309985
2, #DFDFDF, 25.709808, -80.305985
3, #E7E7E7, 25.709808, -80.301985
4, #DFDFDF, 25.709808, -80.297985
5, #DFDFDF, 25.709808, -80.293985
6, #DFDFDF, 25.709808, -80.289985
7, #DFDFDF, 25.709808, -80.285985
8, #DFDFDF, 25.709808, -80.281985
9, #DFDFDF, 25.709808, -80.277985
10, #DFDFDF, 25.709808, -80.273985
11, #DFDFDF, 25.709808, -80.269985
12, #A3CBFF, 25.709808, -80.265985
13, #DFDFDF, 25.709808, -80.261985
14, #DFDFDF, 25.709808, -80.257985
15, #DFDFDF, 25.709808, -80.253985
16, #DFDFDF, 25.709808, -80.249985
17, #A3CBFF, 25.709808, -80.245985
18, #A3CBFF, 25.709808, -80.241985
19, #A3CBFF, 25.709808, -80.237985
20, #A3CBFF, 25.709808, -80.233985
21, #A3CBFF, 25.709808, -80.229985
22, #A3CBFF, 25.709808, -80.225985
23, #A3CBFF, 25.709808, -80.221985
24, #A3CBFF, 25.709808, -80.217985
25, #A3CBFF, 25.709808, -80.213985
26, #A3CBFF, 25.709808, -80.209985
27, #A3CBFF, 25.709808, -80.205985
28, #A3CBFF, 25.709808, -80.201985
29, #A3CBFF, 25.709808, -80.197985
30, #A3CBFF, 25.709808, -80.193985
31, #A3CBFF, 25.709808, -80.189985
32, #A3CBFF, 25.709808, -80.185985
33, #A3CBFF, 25.709808, -80.181985
34, #A3CBFF, 25.709808, -80.177985
35, #CBE7A3, 25.709808, -80.173985
36, #CBE7A3, 25.709808, -80.169985
37, #A3CBFF, 25.709808, -80.165985
38, #CBE7A3, 25.709808, -80.161985
39, #CBE7A3, 25.709808, -80.157985
40, #CBE7A3, 25.709808, -80.153985
41, #A3CBFF, 25.709808, -80.149985
42, #A3CBFF, 25.709808, -80.145985
43, #A3CBFF, 25.709808, -80.141985
44, #A3CBFF, 25.709808, -80.137985
45, #A3CBFF, 25.709808, -80.133985
46, #A3CBFF, 25.709808, -80.129985
47, #A3CBFF, 25.709808, -80.125985
48, #A3CBFF, 25.709808, -80.121985
49, #A3CBFF, 25.709808, -80.117985
50, #A3CBFF, 25.709808, -80.113985
51, #DFDFDF, 25.713808, -80.313985
52, #DFDFDF, 25.713808, -80.309985
53, #DFDFDF, 25.713808, -80.305985
54, #F7F7F7, 25.713808, -80.301985
55, #A3CBFF, 25.713808, -80.297985
56, #EFEFEF, 25.713808, -80.293985
57, #EFEBE3, 25.713808, -80.289985
58, #EFEBE3, 25.713808, -80.285985
59, #D7E7B7, 25.713808, -80.281985
60, #FFEFB7, 25.713808, -80.277985
61, #DFDFDF, 25.713808, -80.273985
62, #FFFFFF, 25.713808, -80.269985
63, #DFDFDF, 25.713808, -80.265985
64, #DFDFDF, 25.713808, -80.261985
65, #DFDFDF, 25.713808, -80.257985
66, #DFDFDF, 25.713808, -80.253985
67, #DFDFDF, 25.713808, -80.249985
68, #A3CBFF, 25.713808, -80.245985
69, #A3CBFF, 25.713808, -80.241985
70, #A3CBFF, 25.713808, -80.237985
71, #A3CBFF, 25.713808, -80.233985
72, #A3CBFF, 25.713808, -80.229985
73, #A3CBFF, 25.713808, -80.225985
74, #A3CBFF, 25.713808, -80.221985
75, #A3CBFF, 25.713808, -80.217985
76, #A3CBFF, 25.713808, -80.213985
77, #A3CBFF, 25.713808, -80.209985
78, #A3CBFF, 25.713808, -80.205985
79, #A3CBFF, 25.713808, -80.201985
80, #A3CBFF, 25.713808, -80.197985
81, #A3CBFF, 25.713808, -80.193985
82, #A3CBFF, 25.713808, -80.189985
83, #A3CBFF, 25.713808, -80.185985
84, #A3CBFF, 25.713808, -80.181985
85, #A3CBFF, 25.713808, -80.177985
86, #A3CBFF, 25.713808, -80.173985
87, #A3CBFF, 25.713808, -80.169985
88, #A3CBFF, 25.713808, -80.165985
89, #D7E7B7, 25.713808, -80.161985
90, #D7E7B7, 25.713808, -80.157985
91, #EFE39B, 25.713808, -80.153985
92, #A3CBFF, 25.713808, -80.149985
93, #A3CBFF, 25.713808, -80.145985
94, #A3CBFF, 25.713808, -80.141985
95, #A3CBFF, 25.713808, -80.137985
96, #A3CBFF, 25.713808, -80.133985
97, #A3CBFF, 25.713808, -80.129985
98, #A3CBFF, 25.713808, -80.125985
99, #A3CBFF, 25.713808, -80.121985
100, #A3CBFF, 25.713808, -80.117985
101, #A3CBFF, 25.713808, -80.113985
102, #FFFFFF, 25.717808, -80.313985
103, #DFDFDF, 25.717808, -80.309985
104, #DFDFDF, 25.717808, -80.305985
105, #DFDFDF, 25.717808, -80.301985
106, #DFDFDF, 25.717808, -80.297985
107, #FFFFFF, 25.717808, -80.293985
108, #EFEFEF, 25.717808, -80.289985
109, #EBD397, 25.717808, -80.285985
110, #E3E3DF, 25.717808, -80.281985
111, #E3E3DF, 25.717808, -80.277985
112, #FFFFFF, 25.717808, -80.273985
113, #DFDFDF, 25.717808, -80.269985
114, #DFDFDF, 25.717808, -80.265985
115, #DFDFDF, 25.717808, -80.261985
116, #DFDFDF, 25.717808, -80.257985
117, #EBEBEB, 25.717808, -80.253985
118, #DFDFDF, 25.717808, -80.249985
119, #DFDFDF, 25.717808, -80.245985
120, #A3CBFF, 25.717808, -80.241985
121, #A3CBFF, 25.717808, -80.237985
122, #A3CBFF, 25.717808, -80.233985
123, #A3CBFF, 25.717808, -80.229985
124, #A3CBFF, 25.717808, -80.225985
125, #A3CBFF, 25.717808, -80.221985
126, #A3CBFF, 25.717808, -80.217985
127, #A3CBFF, 25.717808, -80.213985
128, #A3CBFF, 25.717808, -80.209985
129, #A3CBFF, 25.717808, -80.205985
130, #A3CBFF, 25.717808, -80.201985
131, #A3CBFF, 25.717808, -80.197985
132, #A3CBFF, 25.717808, -80.193985
133, #A3CBFF, 25.717808, -80.189985
134, #A3CBFF, 25.717808, -80.185985
135, #A3CBFF, 25.717808, -80.181985
136, #A3CBFF, 25.717808, -80.177985
137, #A3CBFF, 25.717808, -80.173985
138, #A3CBFF, 25.717808, -80.169985
139, #A3CBFF, 25.717808, -80.165985
140, #A3CBFF, 25.717808, -80.161985
141, #EBF3DB, 25.717808, -80.157985
142, #D7E7B7, 25.717808, -80.153985
143, #CBE7A3, 25.717808, -80.149985
144, #A3CBFF, 25.717808, -80.145985
145, #A3CBFF, 25.717808, -80.141985
146, #A3CBFF, 25.717808, -80.137985
147, #A3CBFF, 25.717808, -80.133985
148, #A3CBFF, 25.717808, -80.129985
149, #A3CBFF, 25.717808, -80.125985
150, #A3CBFF, 25.717808, -80.121985
151, #A3CBFF, 25.717808, -80.117985
152, #A3CBFF, 25.717808, -80.113985
153, #A3CBFF, 25.721808, -80.313985
154, #DFDFDF, 25.721808, -80.309985
155, #DFDFDF, 25.721808, -80.305985
156, #DFDFDF, 25.721808, -80.301985
157, #EFEBE3, 25.721808, -80.297985
158, #EFEBE3, 25.721808, -80.293985
159, #EFEBE3, 25.721808, -80.289985
160, #FFEBAF, 25.721808, -80.285985
161, #DFDFDF, 25.721808, -80.281985
162, #E3E3DF, 25.721808, -80.277985
163, #E3E3DF, 25.721808, -80.273985
164, #DFDFDF, 25.721808, -80.269985
165, #A3CBFF, 25.721808, -80.265985
166, #DFDFDF, 25.721808, -80.261985
167, #DFDFDF, 25.721808, -80.257985
168, #DFDFDF, 25.721808, -80.253985
169, #DFDFDF, 25.721808, -80.249985
170, #E3E3DF, 25.721808, -80.245985
171, #A3CBFF, 25.721808, -80.241985
172, #A3CBFF, 25.721808, -80.237985
173, #A3CBFF, 25.721808, -80.233985
174, #A3CBFF, 25.721808, -80.229985
175, #A3CBFF, 25.721808, -80.225985
176, #A3CBFF, 25.721808, -80.221985
177, #A3CBFF, 25.721808, -80.217985
178, #A3CBFF, 25.721808, -80.213985
179, #A3CBFF, 25.721808, -80.209985
180, #A3CBFF, 25.721808, -80.205985
181, #A3CBFF, 25.721808, -80.201985
182, #A3CBFF, 25.721808, -80.197985
183, #A3CBFF, 25.721808, -80.193985
184, #A3CBFF, 25.721808, -80.189985
185, #A3CBFF, 25.721808, -80.185985
186, #A3CBFF, 25.721808, -80.181985
187, #A3CBFF, 25.721808, -80.177985
