longi,lati,description,zip,address
-80.255439,25.757664,,33134,50 Menores Ave Apt 610
-80.235823,25.857443,,33147,2295 NW 91st St
-80.130936,25.89266,,33154,10201 E Bay Harbor Dr Apt 507
-80.134471,25.940582,,33160,3000 Island Blvd Unit 904
,,,,
-80.134471,25.940582,,33160,3000 Island Blvd Unit 904
-80.235823,25.857443,,33147,2295 NW 91st St
-80.192269,25.80778,,33137,3301 NE 1st Ave Apt H3013
,,,33160,W 37th St
-80.192269,25.80778,,33137,3301 NE 1st Ave Apt H3013
-80.123142,25.813683,,33140,4130 Collins Ave Unit 708
,,,,
-80.123142,25.813683,,33140,4130 Collins Ave Unit 708
-80.368774,25.733318,,33165,3860 SW 107th Ave Unit 1-11
-80.141573,25.92698,,33160,2935 NE 163rd St Apt 2M
-80.329518,25.634459,,33158,14600 SW 83rd Pl
-80.347741,25.778371,,33172,9431 Fontainebleau Blvd Apt 109
-80.368774,25.733318,,33165,3860 SW 107th Ave Unit 1-11
-80.347741,25.778371,,33172,9431 Fontainebleau Blvd Apt 109
-80.196333,25.97209,,33179,21300 San Simeon Way Apt K2
,,,,
-80.447787,25.710002,,33193,15733 SW 60th St
-80.349865,25.722019,,33165,4960 SW 95th Ct
-80.196333,25.97209,,33179,21300 San Simeon Way Apt K2
-80.447787,25.710002,,33193,15733 SW 60th St
,,,33160,W 37th St
-80.12352,25.897905,,33154,10275 Collins Ave Apt 407
,,,,
-80.128319,25.929284,,33160,400 Sunny Isles Blvd Apt 901
-80.12352,25.897905,,33154,10275 Collins Ave Apt 407
-80.128319,25.929284,,33160,400 Sunny Isles Blvd Apt 901
-80.355255,25.776569,,33172,9715 Fontainebleau Blvd Unit E307
-80.128158,25.795604,,33139,101 20th St Unit 2007
-80.1664,25.693663,,33149,401 Ridgewood Rd
-80.128158,25.795604,,33139,101 20th St Unit 2007
-80.355255,25.776569,,33172,9715 Fontainebleau Blvd Unit E307
-80.1664,25.693663,,33149,401 Ridgewood Rd
,,,33160,Ridgewood Dr
-80.126076,25.957607,,33180,19667 Turnberry Way Apt 11C
-80.191747,25.774521,,33131,101 E Flagler St Unit 407
,,,33160,W 37th St
-80.191747,25.774521,,33131,101 E Flagler St Unit 407
-80.376687,25.633569,,33176,
-80.212254,25.769408,,33130,1040 SW 4th St
-80.324105,25.778972,,33126,7991 NW 8 St Unit 114B
-80.212254,25.769408,,33130,1040 SW 4th St
-80.376687,25.633569,,33176,
-80.324105,25.778972,,33126,7991 NW 8 St Unit 114B
-80.121021,25.826342,,33140,5005 Collins Ave Apt 112
-80.191834,25.768177,,33131,
-80.121021,25.826342,,33140,5005 Collins Ave Apt 112
-80.204886,25.855505,,33150,475 NW 88th St
-80.208938,25.83431,,33150,6444 NW 7th Ave
-80.204886,25.855505,,33150,475 NW 88th St
-80.391208,25.589551,,33177,12301 SW 191st St
-80.184761,25.769121,,33131,888 Brickell Key Dr Apt 1400
-80.40012,25.703333,,33183,12739 SW 68th Ln
-80.184761,25.769121,,33131,888 Brickell Key Dr Apt 1400
-80.391208,25.589551,,33177,12301 SW 191st St
-80.40012,25.703333,,33183,12739 SW 68th Ln
-80.25186,25.722781,,33133,3630 Avocado Ave
-80.192701,25.764342,,33131,1010 Brickell Unit 4801
-80.124187,25.941059,,33160,200 178th Dr Apt 707
-80.25186,25.722781,,33133,3630 Avocado Ave
-80.328043,25.754505,,33155,1630 SW 82nd Ave
-80.192701,25.764342,,33131,1010 Brickell Unit 4801
-80.128977,25.790359,,33139,100 Lincoln Rd # 1134
-80.208938,25.83431,,33150,6444 NW 7th Ave
-80.213557,25.87791,,33168,860 NW 113th St
-80.128977,25.790359,,33139,100 Lincoln Rd # 1134
-80.213557,25.87791,,33168,860 NW 113th St
-80.260703,25.725373,,33133,231 Grant Dr
-80.133896,25.788654,,33139,1555 Pennsylvania Ave Apt 103
-80.340134,25.640151,,33176,13960 SW 90th Ave Unit 214
-80.133896,25.788654,,33139,1555 Pennsylvania Ave Apt 103
-80.33233,25.821801,,33166,8333 NW 53rd Street Suite #102
-80.193365,25.756112,,33129,1581 Brickell Ave Apt 908
-80.124187,25.941059,,33160,200 178th Dr Apt 707
-80.126232,25.853287,,33141,900 Bay Dr Apt 605
-80.120207,25.835469,,33140,5555 Collins Ave Apt 5F
-80.126232,25.853287,,33141,900 Bay Dr Apt 605
-80.193365,25.756112,,33129,1581 Brickell Ave Apt 908
-80.120207,25.835469,,33140,5555 Collins Ave Apt 5F
-80.126838,25.826806,,33140,5014 Lakeview Dr
-80.135736,25.789756,,33139,1616 Euclid Ave Apt 4
-80.126838,25.826806,,33140,5014 Lakeview Dr
-80.260703,25.725373,,33133,231 Grant Dr
-80.135736,25.789756,,33139,1616 Euclid Ave Apt 4
-80.448787,25.680623,,33196,9230 SW 157th Pl
-80.120116,25.843187,,33140,6039 Collins Ave Apt 1422
-80.198873,25.752407,,33129,2101 Brickell Ave Apt 2504
-80.33233,25.821801,,33166,8333 NW 53rd Street Suite #102
-80.198873,25.752407,,33129,2101 Brickell Ave Apt 2504
-80.120116,25.843187,,33140,6039 Collins Ave Apt 1422
-80.198873,25.752407,,33129,2101 Brickell Ave Apt 2504
-80.198873,25.752407,,33129,2101 Brickell Ave Apt 2504
-80.12323,25.929447,,33160,150 SE Sunny Isles Blvd Unit 1-1205
-80.307548,25.647185,,33156,6990 SW 133rd St
-80.233663,25.862974,,33147,2170 NW 97th St
-80.335984,25.772431,,33126,
-80.307548,25.647185,,33156,6990 SW 133rd St
-80.16457,25.878579,,33181,11113 Biscayne Blvd Unit 1154
-80.150958,25.933722,,33160,17111 Biscayne Blvd Unit 1006
-80.133588,25.951464,,33180,3370 Hidden Bay Dr Unit 3811
-80.16457,25.878579,,33181,11113 Biscayne Blvd Unit 1154
-80.133588,25.951464,,33180,3370 Hidden Bay Dr Unit 3811
-80.297901,25.813062,,33166,850 Hunting Lodge Dr
-80.412737,25.764593,,33184,
-80.321979,25.68812,,33156,7807 SW 88 Te
-80.124555,25.941815,,33160,17801 N Bay Rd Apt 601
-80.297901,25.813062,,33166,850 Hunting Lodge Dr
-80.128977,25.790359,,33139,100 Lincoln Rd Unit 1223
-80.412737,25.764593,,33184,
-80.146623,25.79102,,33139,10 Venetian Way Apt 703
-80.233663,25.862974,,33147,2170 NW 97th St
-80.146623,25.79102,,33139,10 Venetian Way Apt 703
-80.300208,25.649892,,33156,6525 SW 131st St
-80.412737,25.764593,,33184,
-80.300208,25.649892,,33156,6525 SW 131st St
-80.150958,25.933722,,33160,17111 Biscayne Blvd Unit 1006
-80.128047,25.928994,,33160,400 Sunny Isles Blvd Apt 1504
-80.298155,25.703094,,33143,7240 SW 64th Ct
-80.128047,25.928994,,33160,400 Sunny Isles Blvd Apt 1504
-80.119944,25.949089,,33160,18683 Collins Ave Unit 2208
-80.298155,25.703094,,33143,7240 SW 64th Ct
-80.366105,25.777779,,33172,810 NW 104th Ave
-80.124489,25.954857,,33160,19390 Collins Ave Apt 726
-80.129401,25.858151,,33141,83 N Shore Dr
-80.124489,25.954857,,33160,19390 Collins Ave Apt 726
-80.366105,25.777779,,33172,810 NW 104th Ave
-80.366105,25.777779,,33172,810 NW 104th Ave
-80.366105,25.777779,,33172,810 NW 104th Ave
-80.2676,25.790224,,33126,4301 NW South Tamiami Canal Dr Unit 3-209
-80.336228,25.610989,,33157,
-80.319311,25.754327,,33155,1700 SW 76th Ct
-80.2676,25.790224,,33126,4301 NW South Tamiami Canal Dr Unit 3-209
-80.319311,25.754327,,33155,1700 SW 76th Ct
-80.336228,25.610989,,33157,
-80.120258,25.836813,,33140,5601 Collins Ave Apt 1103
-80.119944,25.949089,,33160,18683 Collins Ave Unit 2208
-80.120258,25.836813,,33140,5601 Collins Ave Apt 1103
-80.124187,25.941059,,33160,200 178th Dr Apt 707
-80.300324,25.699931,,33143,6635 SW 76th Ter
-80.124187,25.941059,,33160,200 178th Dr Apt 707
-80.251828,25.861071,,33147,9555 NW 32nd Pl
-80.222004,25.767729,,33135,1633 SW 6th St
-80.251828,25.861071,,33147,9555 NW 32nd Pl
-80.188131,25.772195,,33131,200 S Biscayne Blvd Unit 3605
-80.222004,25.767729,,33135,1633 SW 6th St
-80.287332,25.743608,,33155,
-80.120603,25.93701,,33160,17375 Collins Ave Unit 1901
-80.187149,25.792482,,33132,1750 N Bayshore Dr Apt 4209
-80.444616,25.716761,,33185,15460 SW 50 Trl
-80.287332,25.743608,,33155,
-80.187149,25.792482,,33132,1750 N Bayshore Dr Apt 4209
-80.121402,25.861764,,33141,7600 Collins Ave Apt 710
-80.158055,25.944173,,33179,2124 NE 183rd St
-80.190789,25.76832,,33131,500 Brickell Ave Apt 2701
-80.121402,25.861764,,33141,7600 Collins Ave Apt 710
-80.190789,25.76832,,33131,500 Brickell Ave Apt 2701
-80.158055,25.944173,,33179,2124 NE 183rd St
-80.165868,25.946164,,33179,1789 NE Miami Gardens Dr Unit W204
-80.188131,25.772195,,33131,200 S Biscayne Blvd Unit 3605
-80.165868,25.946164,,33179,1789 NE Miami Gardens Dr Unit W204
-80.189266,25.855809,,33138,390 NE 88th St
-80.135721,25.823134,,33140,4700 Alton Rd
-80.189266,25.855809,,33138,390 NE 88th St
-80.340622,25.694445,,33173,8025 SW 91st Ave
-80.142713,25.781042,,33139,1000 W Ave Ph 12
-80.309959,25.675217,,33178,
-80.142713,25.781042,,33139,1000 W Ave Ph 12
-80.125492,25.800522,,33140,2457 Collins Ave Apt 904
-80.142713,25.781042,,33139,1000 W Ave Ph 12
-80.142713,25.781042,,33139,1000 W Ave Ph 12
-80.309959,25.675217,,33178,
-80.324036,25.760916,,33144,901 SW 79th Ave
-80.124555,25.941815,,33160,17801 N Bay Rd Apt 601
-80.1409,25.963187,,33180,20291 NE 30th Ave Apt 111
-80.324036,25.760916,,33144,901 SW 79th Ave
-80.1409,25.963187,,33180,20291 NE 30th Ave Apt 111
-80.235086,25.732395,,33133,2627 S Bayshore Dr Apt 1203
-80.12151,25.879661,,33154,9195 Collins Ave Ph 11
-80.235086,25.732395,,33133,2627 S Bayshore Dr Apt 1203
-80.340622,25.694445,,33173,8025 SW 91st Ave
-80.12151,25.879661,,33154,9195 Collins Ave Ph 11
-80.28044,25.749911,,33134,1229 Castile Ave
-80.128918,25.966734,,33180,3625 N Country Club Dr Apt 2605
-80.121016,25.875432,,33154,8925 Collins Ave Apt 9A
-80.125492,25.800522,,33140,2457 Collins Ave Apt 904
-80.28044,25.749911,,33134,1229 Castile Ave
-80.121016,25.875432,,33154,8925 Collins Ave Apt 9A
-80.120526,25.847081,,33141,6444 Collins Ave Apt 504
-80.269501,25.747696,,33134,700 Biltmore Way Apt 1115
-80.120526,25.847081,,33141,6444 Collins Ave Apt 504
-80.169351,25.914097,,33161,1481 NE 150th St Apt 103
-80.120526,25.847081,,33141,6444 Collins Ave Apt 504
-80.120526,25.847081,,33141,6444 Collins Ave Apt 504
-80.269501,25.747696,,33134,700 Biltmore Way Apt 1115
-80.183769,25.769324,,33131,848 Brickell Key Dr Apt 2403
-80.297465,25.71024,,33143,6441 SW 64th Ave
-80.183769,25.769324,,33131,848 Brickell Key Dr Apt 2403
-80.185577,25.839833,,33138,537 NE 70th St
-80.135736,25.789756,,33139,1616 Euclid Ave Apt 4
-80.185577,25.839833,,33138,537 NE 70th St
-80.350297,25.679601,,33176,9651 SW 96th Ct
-80.135391,25.950938,,33180,3330 NE 190th St Apt 1617
