longi,lati,description,zip,address
,,,,
longi,lati,description,zip,address
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
longi,lati,description,zip,address
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
longi,lati,description,zip,address
-80.183125,25.768637,,33131,808 Brickell Key Dr Apt 2902
longi,lati,description,zip,address
-80.187236,25.803428,,33137,460 NE 28th St Apt 3304
longi,lati,description,zip,address
,,,,
longi,lati,description,zip,address
-80.174622,25.865638,,33138,1178 NE 98th St
longi,lati,description,zip,address
-80.174622,25.865638,,33138,1178 NE 98th St
longi,lati,description,zip,address
-80.174622,25.865638,,33138,1178 NE 98th St
longi,lati,description,zip,address
-80.174622,25.865638,,33138,1178 NE 98th St
