zip,type,price,bed,bath,longi,lotsize,address,lati,sqft,hlfbath
33134,Condo/townhome/row home/co-op,315000,2,2,-80.255439,,50 Menores Ave Apt 610,25.757664," 1,026",
33147,Single family home,144900,2,1,-80.235823,"4,260",2295 NW 91st St,25.857443,,
,Condo/townhome/row home/co-op,2495000,4,3,,,,,"2,090",1
,Condo/townhome/row home/co-op,699800,2,2,,,,,"2,000",
33134,Condo/townhome/row home/co-op,315000,2,2,-80.255439,,50 Menores Ave Apt 610,25.757664,"1,026",
33160,Condo/townhome/row home/co-op,699800,2,2,-80.134471,,3000 Island Blvd Unit 904,25.940582," 2,000",
,Single family home,144900,2,1,,"4,260",,,,
33137,Condo/townhome/row home/co-op,280000,0,1,-80.192269,,3301 NE 1st Ave Apt H3013,25.80778,655,
33137,Condo/townhome/row home/co-op,280000,0,1,-80.192269,,3301 NE 1st Ave Apt H3013,25.80778,655,
33140,Condo/townhome/row home/co-op,160000,0,1,-80.123142,,4130 Collins Ave Unit 708,25.813683,227,
33147,Single family home,144900,2,1,-80.235823,"4,260",2295 NW 91st St,25.857443,,
33140,Condo/townhome/row home/co-op,160000,0,1,-80.123142,,4130 Collins Ave Unit 708,25.813683,227,
33165,Condo/townhome/row home/co-op,250000,3,2,-80.368774,,3860 SW 107th Ave Unit 1-11,25.733318,"1,360",1
33160,Condo/townhome/row home/co-op,145000,1,1,-80.141573,,2935 NE 163rd St Apt 2M,25.92698, 803,1
33158,Single family home,499999,3,2,-80.329518,0.4,14600 SW 83rd Pl,25.634459,"2,021",
33172,Condo/townhome/row home/co-op,199000,2,2,-80.347741,,9431 Fontainebleau Blvd Apt 109,25.778371,"1,000",
33165,Condo/townhome/row home/co-op,250000,3,2,-80.368774,,3860 SW 107th Ave Unit 1-11,25.733318,"1,360",1
,Condo/townhome/row home/co-op,199000,2,2,,,,,"1,000",
33179,Condo/townhome/row home/co-op,155000,2,2,-80.196333,,21300 San Simeon Way Apt K2,25.97209,"1,200",1
33165,Single family home,450000,3,3,-80.349865,"8,000",4960 SW 95th Ct,25.722019," 1,764",
33193,Single family home,495000,5,3,-80.447787,"7,200",15733 SW 60th St,25.710002,"2,995",1
,Single family home,450000,3,3,,"8,000",,,"1,764",
,Condo/townhome/row home/co-op,155000,2,2,,,,,"1,200",1
,Single family home,495000,5,3,,"7,200",,,"2,995",1
33154,Condo/townhome/row home/co-op,630000,1,1,-80.12352,,10275 Collins Ave Apt 407,25.897905,896,1
33147,Single family home,193500,3,1,-80.246526,"8,475",,25.852313," 1,014",
33160,Condo/townhome/row home/co-op,995000,3,3,-80.128319,,400 Sunny Isles Blvd Apt 901,25.929284,"1,688",
33154,Condo/townhome/row home/co-op,630000,1,1,-80.12352,,10275 Collins Ave Apt 407,25.897905,896,1
33160,Condo/townhome/row home/co-op,995000,3,3,-80.128319,,400 Sunny Isles Blvd Apt 901,25.929284,"1,688",
33172,Condo/townhome/row home/co-op,200900,2,1,-80.355255,,9715 Fontainebleau Blvd Unit E307,25.776569, 933,
33139,Condo/townhome/row home/co-op,4950000,2,2,-80.128158,,101 20th St Unit 2007,25.795604,"1,279",
33149,Single family home,1699400,4,2,-80.1664,"8,373",401 Ridgewood Rd,25.693663,"1,631",
33139,Condo/townhome/row home/co-op,4950000,2,2,-80.128158,,101 20th St Unit 2007,25.795604,"1,279",
33172,Condo/townhome/row home/co-op,200900,2,1,-80.355255,,9715 Fontainebleau Blvd Unit E307,25.776569, 933,
33149,Single family home,1699400,4,2,-80.1664,"8,373",401 Ridgewood Rd,25.693663," 1,631",
33180,Condo/townhome/row home/co-op,299000,1,1,-80.126076,,19667 Turnberry Way Apt 11C,25.957607," 1,077",1
33131,Single family home,160000,1,1,-80.191747,,101 E Flagler St Unit 407,25.774521,623,
33131,Single family home,160000,1,1,-80.191747,,101 E Flagler St Unit 407,25.774521, 623,
33176,Single family home,255000,4,2,-80.376687,"7,500",,25.633569,"1,948",1
33130,Multi-family home,959000,2,1,-80.212254,,1040 SW 4th St,25.769408," 4,620",
33126,Condo/townhome/row home/co-op,177000,2,2,-80.324105,,7991 NW 8 St Unit 114B,25.778972, 940,1
33130,Multi-family home,959000,2,1,-80.212254,,1040 SW 4th St,25.769408,"4,620",
33176,Single family home,255000,4,2,-80.376687,"7,500",,25.633569,"1,948",1
33126,Condo/townhome/row home/co-op,177000,2,2,-80.324105,,7991 NW 8 St Unit 114B,25.778972,940,1
33140,Condo/townhome/row home/co-op,449000,1,1,-80.121021,,5005 Collins Ave Apt 112,25.826342,988,1
33131,Condo/townhome/row home/co-op,1050000,2,2,-80.191834,,,25.768177,,1
33140,Condo/townhome/row home/co-op,449000,1,1,-80.121021,,5005 Collins Ave Apt 112,25.826342,988,1
33150,Single family home,375000,3,2,-80.204886,"7,500",475 NW 88th St,25.855505," 1,991",
33150,Single family home,375000,3,2,-80.204886,"7,500",475 NW 88th St,25.855505,"1,991",
33177,Single family home,249900,3,2,-80.391208,"8,015",12301 SW 191st St,25.589551," 1,699",
33131,Condo/townhome/row home/co-op,590000,2,2,-80.184761,,888 Brickell Key Dr Apt 1400,25.769121,"1,410",1
33183,Condo/townhome/row home/co-op,299990,3,3,-80.40012,,12739 SW 68th Ln,25.703333,,
33131,Condo/townhome/row home/co-op,590000,2,2,-80.184761,,888 Brickell Key Dr Apt 1400,25.769121,"1,410",1
33177,Single family home,249900,3,2,-80.391208,"8,015",12301 SW 191st St,25.589551,"1,699",
33183,Condo/townhome/row home/co-op,299990,3,3,-80.40012,,12739 SW 68th Ln,25.703333,,
33133,Single family home,2195000,4,4,-80.25186,"7,000",3630 Avocado Ave,25.722781,"3,341",1
33131,Condo/townhome/row home/co-op,1639000,3,3,-80.192701,,1010 Brickell Unit 4801,25.764342,,
33160,Condo/townhome/row home/co-op,350000,2,2,-80.124187,,200 178th Dr Apt 707,25.941059," 1,290",
33133,Single family home,2195000,4,4,-80.25186,"7,000",3630 Avocado Ave,25.722781," 3,341",1
33155,Single family home,260000,3,1,-80.328043,"7,875",1630 SW 82nd Ave,25.754505," 1,355",
33131,Condo/townhome/row home/co-op,1639000,3,3,-80.192701,,1010 Brickell Unit 4801,25.764342,,
33139,Condo/townhome/row home/co-op,675000,1,1,-80.128977,,100 Lincoln Rd # 1134,25.790359,700,
33168,Single family home,290000,5,3,-80.213557,"7,000",860 NW 113th St,25.87791,"1,619",
33139,Condo/townhome/row home/co-op,675000,1,1,-80.128977,,100 Lincoln Rd # 1134,25.790359,700,
33168,Single family home,290000,5,3,-80.213557,"7,000",860 NW 113th St,25.87791,"1,619",
33133,Single family home,300000,4,2,-80.260703,"9,000",231 Grant Dr,25.725373,"1,218",
